00252,00161,1644
00273,00161,1656
00294,00157,1672
00315,00151,1685
00337,00150,1697
00358,00151,1713
00380,00144,1725
00401,00153,1738
00421,00158,1754
00441,00165,1766
00459,00172,1779
00477,00185,1791
00493,00198,1807
00507,00215,1819
00520,00227,1831
00531,00263,1848
00541,00301,1860
00548,00322,1873
00554,00390,1889
00557,00419,1901
00559,00449,1914
00560,00445,1926
00562,00515,1943
00566,00647,1955
00572,01695,1967
00564,00658,1984
00555,00444,1996
00544,00357,2008
00532,00300,2024
00518,00248,2037
00504,00236,2049
00488,00216,2061
00471,00196,2078
00453,00186,2090
00435,00178,2102
00416,00179,2118
00397,00171,2130
00378,00164,2143
00359,00170,2159
00340,00178,2171
00322,00172,2184
00305,00183,2197
00288,00199,2212
00273,00205,2225
00258,00215,2237
00245,00233,2253
00233,00256,2266
00223,00282,2278
00214,00312,2294
00207,00356,2307
00202,00389,2319
00198,00434,2331
00196,00491,2347
00195,00489,2360
00194,00499,2372
00191,00584,2388
00186,00861,2401
00186,01218,2413
00194,00615,2430
00203,00441,2442
00214,00360,2454
00225,00311,2467
00238,00280,2483
00252,00237,2495
00266,00236,2508
00282,00223,2524
00298,00212,2536
00314,00206,2548
00330,00203,2565
00347,00198,2577
00363,00198,2589
00380,00193,2602
00395,00208,2617
00411,00210,2631
00425,00221,2643
00439,00232,2659
00452,00238,2672
00463,00265,2684
00474,00296,2700
00483,00320,2713
00490,00358,2725
00497,00400,2737
00501,00436,2753
00505,00489,2766
00506,00509,2778
00507,00520,2794
00509,00562,2807
00512,00625,2819
00516,00852,2836
00519,03086,2848
00512,00795,2860
00504,00556,2872
00495,00425,2889
00485,00365,2901
00474,00315,2913
00462,00285,2930
00450,00265,2942
00437,00256,2954
00423,00244,2971
00409,00238,2983
00395,00233,2996
00381,00230,3008
00367,00230,3024
00353,00234,3036
00339,00237,3049
00326,00238,3065
00314,00249,3077
00302,00261,3090
00291,00284,3106
00281,00308,3118
00273,00331,3131
00265,00361,3143
